classes,conf,x1,y1,x2,y2,fps
car,0.83059144,710.0,542.0,892.0,657.0,50
car,0.82234526,1394.0,472.0,1533.0,578.0,50
car,0.7792616,1291.0,361.0,1406.0,447.0,50
car,0.4360602,885.0,254.0,987.0,338.0,50
truck,0.43172455,885.0,254.0,987.0,338.0,50
bus,0.83417034,346.0,592.0,631.0,816.0,51
car,0.83000183,725.0,537.0,904.0,652.0,51
car,0.8102207,1399.0,469.0,1535.0,572.0,51
car,0.7736993,1294.0,358.0,1413.0,443.0,51
car,0.5275922,1099.0,261.0,1169.0,299.0,51
truck,0.46251726,877.0,258.0,979.0,339.0,51
car,0.43032932,879.0,257.0,978.0,339.0,51
car,0.41791248,1178.0,218.0,1231.0,251.0,51
bus,0.80799866,370.0,585.0,648.0,805.0,52
car,0.79838276,739.0,529.0,911.0,641.0,52
car,0.79241467,1299.0,356.0,1413.0,440.0,52
car,0.7916336,1402.0,465.0,1537.0,567.0,52
truck,0.45739532,871.0,254.0,974.0,340.0,52
car,0.42872906,1552.0,217.0,1598.0,245.0,52
car,0.8109112,752.0,520.0,922.0,634.0,53
car,0.80628276,1408.0,460.0,1541.0,561.0,53
car,0.7749901,1308.0,350.0,1413.0,437.0,53
bus,0.7107949,385.0,580.0,663.0,790.0,53
truck,0.626493,865.0,259.0,965.0,341.0,53
car,0.4058441,1555.0,217.0,1598.0,246.0,53
bus,0.8314276,410.0,573.0,678.0,784.0,54
car,0.8169489,764.0,513.0,934.0,629.0,54
car,0.803597,1410.0,459.0,1541.0,558.0,54
car,0.783062,1311.0,348.0,1414.0,431.0,54
truck,0.53409433,859.0,256.0,965.0,346.0,54
car,0.81527233,777.0,507.0,942.0,620.0,55
car,0.80600166,1415.0,454.0,1547.0,552.0,55
car,0.79012823,1317.0,345.0,1418.0,427.0,55
truck,0.58174133,852.0,258.0,958.0,348.0,55
truck,0.5252657,434.0,566.0,694.0,775.0,55
car,0.8189297,1419.0,450.0,1549.0,547.0,56
car,0.81602526,787.0,500.0,955.0,609.0,56
car,0.7498231,1321.0,343.0,1423.0,425.0,56
bus,0.74783325,450.0,549.0,709.0,762.0,56
car,0.5490961,842.0,259.0,952.0,352.0,56
truck,0.49328184,841.0,260.0,951.0,350.0,56
car,0.8315742,800.0,497.0,962.0,601.0,57
car,0.81298184,1420.0,448.0,1552.0,541.0,57
car,0.73682594,1324.0,342.0,1424.0,423.0,57
bus,0.70622635,471.0,543.0,723.0,749.0,57
truck,0.59493256,838.0,260.0,943.0,352.0,57
car,0.80620337,1423.0,440.0,1552.0,537.0,58
car,0.7898326,811.0,490.0,971.0,594.0,58
car,0.7537074,1330.0,340.0,1429.0,420.0,58
car,0.6067834,829.0,260.0,944.0,357.0,58
bus,0.5664921,479.0,542.0,736.0,744.0,58
car,0.8110142,1428.0,437.0,1557.0,536.0,59
car,0.7967906,1333.0,337.0,1432.0,418.0,59
car,0.74710464,821.0,487.0,982.0,591.0,59
car,0.7326529,826.0,260.0,935.0,356.0,59
bus,0.67282677,510.0,534.0,755.0,735.0,59
car,0.8041315,833.0,479.0,988.0,583.0,60
car,0.7879877,1430.0,436.0,1557.0,530.0,60
car,0.78466415,1336.0,334.0,1436.0,415.0,60
car,0.6120386,818.0,262.0,930.0,357.0,60
bus,0.5838604,522.0,530.0,764.0,725.0,60
car,0.82357407,843.0,473.0,1002.0,578.0,61
car,0.80708265,1337.0,333.0,1439.0,413.0,61
car,0.78552246,1432.0,430.0,1564.0,522.0,61
bus,0.5391505,538.0,521.0,778.0,715.0,61
truck,0.4819908,809.0,263.0,922.0,357.0,61
bus,0.8574259,555.0,519.0,790.0,706.0,62
car,0.80661416,1436.0,429.0,1568.0,516.0,62
car,0.78770447,1342.0,330.0,1440.0,407.0,62
car,0.7602775,856.0,469.0,1008.0,570.0,62
car,0.53000736,803.0,269.0,912.0,360.0,62
car,0.7974014,1445.0,427.0,1564.0,512.0,63
car,0.7688732,1345.0,329.0,1442.0,404.0,63
car,0.75491333,865.0,463.0,1018.0,564.0,63
bus,0.69020367,568.0,506.0,803.0,702.0,63
truck,0.53979635,796.0,269.0,908.0,364.0,63
car,0.84004354,877.0,460.0,1026.0,557.0,64
car,0.7724023,1449.0,424.0,1566.0,510.0,64
car,0.76052856,1351.0,326.0,1445.0,401.0,64
car,0.5488539,787.0,270.0,897.0,362.0,64
car,0.81313705,885.0,455.0,1032.0,550.0,65
car,0.80165005,1357.0,322.0,1445.0,400.0,65
car,0.78727293,1450.0,419.0,1573.0,508.0,65
car,0.6398368,776.0,274.0,895.0,366.0,65
bus,0.5581217,602.0,498.0,826.0,688.0,65
car,0.83796144,895.0,451.0,1040.0,546.0,66
car,0.7816658,1455.0,416.0,1569.0,504.0,66
car,0.6656208,1357.0,322.0,1450.0,395.0,66
truck,0.48356414,766.0,275.0,886.0,371.0,66
bus,0.48139095,620.0,493.0,837.0,681.0,66
car,0.46964407,613.0,492.0,841.0,676.0,66
car,0.41804695,766.0,275.0,891.0,372.0,66
car,0.81596375,1457.0,412.0,1573.0,501.0,67
car,0.79021335,904.0,446.0,1049.0,543.0,67
car,0.7439017,1361.0,321.0,1451.0,395.0,67
truck,0.51274204,760.0,276.0,879.0,374.0,67
bus,0.4343233,631.0,490.0,849.0,671.0,67
car,0.8252313,913.0,443.0,1054.0,536.0,68
car,0.79972696,1461.0,408.0,1575.0,494.0,68
car,0.7714884,1364.0,318.0,1454.0,392.0,68
car,0.5704045,749.0,275.0,874.0,379.0,68
bus,0.55822134,644.0,483.0,859.0,663.0,68
car,0.82660055,924.0,438.0,1064.0,532.0,69
car,0.80058575,1463.0,404.0,1580.0,491.0,69
car,0.7235913,1369.0,315.0,1457.0,389.0,69
truck,0.47777295,747.0,278.0,868.0,380.0,69
car,0.4689939,747.0,278.0,867.0,379.0,69
car,0.42794573,1491.0,197.0,1535.0,227.0,69
car,0.8436277,935.0,431.0,1072.0,526.0,70
car,0.8287525,1465.0,402.0,1581.0,488.0,70
car,0.7238412,1373.0,314.0,1460.0,385.0,70
bus,0.5731268,674.0,472.0,882.0,653.0,70
car,0.4689374,740.0,278.0,859.0,382.0,70
truck,0.4625988,739.0,277.0,858.0,384.0,70
car,0.81149864,942.0,427.0,1080.0,522.0,71
car,0.794384,1466.0,400.0,1582.0,484.0,71
car,0.76385117,1374.0,314.0,1461.0,383.0,71
truck,0.5904045,729.0,283.0,850.0,386.0,71
truck,0.51239014,692.0,474.0,893.0,643.0,71
car,0.8266711,951.0,426.0,1088.0,513.0,72
car,0.787735,1471.0,399.0,1583.0,481.0,72
car,0.7565031,1376.0,313.0,1462.0,380.0,72
bus,0.6833327,698.0,465.0,897.0,634.0,72
truck,0.48125267,722.0,283.0,844.0,388.0,72
bus,0.42392206,722.0,284.0,845.0,389.0,72
car,0.8236909,957.0,420.0,1098.0,510.0,73
car,0.7863581,1473.0,398.0,1588.0,477.0,73
car,0.7267313,1379.0,311.0,1468.0,378.0,73
bus,0.719748,714.0,458.0,912.0,632.0,73
truck,0.52545404,714.0,287.0,838.0,389.0,73
car,0.7980671,1473.0,393.0,1589.0,473.0,74
car,0.7872572,968.0,415.0,1101.0,507.0,74
bus,0.7282202,727.0,453.0,923.0,622.0,74
car,0.7180166,1382.0,309.0,1469.0,374.0,74
bus,0.42874932,703.0,285.0,823.0,392.0,74
car,0.8839495,979.0,411.0,1112.0,501.0,75
car,0.7774601,1477.0,388.0,1588.0,469.0,75
car,0.6915624,1385.0,304.0,1471.0,373.0,75
bus,0.58289766,737.0,451.0,928.0,613.0,75
truck,0.46420193,694.0,287.0,822.0,393.0,75
car,0.8216357,986.0,407.0,1115.0,496.0,76
car,0.7921643,1479.0,388.0,1590.0,467.0,76
bus,0.7827413,751.0,447.0,938.0,607.0,76
car,0.62036705,1391.0,304.0,1475.0,372.0,76
truck,0.5071521,684.0,292.0,810.0,396.0,76
bus,0.4686594,685.0,292.0,807.0,398.0,76
car,0.8123045,990.0,406.0,1125.0,493.0,77
car,0.8118553,1481.0,384.0,1594.0,465.0,77
bus,0.80301,762.0,445.0,945.0,603.0,77
car,0.63926697,1392.0,302.0,1479.0,370.0,77
truck,0.4956479,673.0,295.0,806.0,398.0,77
bus,0.42496395,674.0,294.0,802.0,399.0,77
car,0.81305003,1001.0,402.0,1129.0,488.0,78
bus,0.8115921,769.0,439.0,954.0,601.0,78
car,0.80065846,1485.0,382.0,1596.0,462.0,78
car,0.566185,1395.0,301.0,1481.0,367.0,78
car,0.43260384,666.0,298.0,799.0,398.0,78
truck,0.4069128,666.0,298.0,799.0,398.0,78
car,0.80180883,1007.0,399.0,1136.0,483.0,79
car,0.77837276,1489.0,382.0,1595.0,459.0,79
car,0.57849884,780.0,435.0,966.0,595.0,79
train,0.52962303,5.0,789.0,617.0,1077.0,79
car,0.525507,1399.0,298.0,1483.0,367.0,79
truck,0.42401218,655.0,302.0,785.0,403.0,79
car,0.40254593,965.0,296.0,1045.0,343.0,79
car,0.7957642,1017.0,397.0,1142.0,480.0,80
car,0.71428204,1492.0,378.0,1595.0,456.0,80
car,0.6149411,645.0,301.0,779.0,404.0,80
car,0.50110126,1403.0,297.0,1482.0,366.0,80
train,0.43995416,9.0,766.0,644.0,1080.0,80
bus,0.42458725,793.0,431.0,977.0,588.0,80
car,0.8116455,1026.0,392.0,1148.0,476.0,81
car,0.70300484,1492.0,375.0,1598.0,454.0,81
car,0.6378937,1406.0,297.0,1483.0,363.0,81
bus,0.56863904,806.0,427.0,985.0,583.0,81
car,0.55999947,636.0,303.0,776.0,406.0,81
car,0.48844576,953.0,300.0,1037.0,348.0,81
car,0.8172591,1031.0,392.0,1159.0,475.0,82
car,0.7266998,1497.0,375.0,1599.0,449.0,82
car,0.68669987,1407.0,294.0,1485.0,362.0,82
bus,0.48540235,813.0,425.0,990.0,579.0,82
car,0.44529223,623.0,305.0,760.0,415.0,82
car,0.41998005,1578.0,198.0,1620.0,230.0,82
truck,0.41781712,624.0,303.0,758.0,414.0,82
car,0.41276598,950.0,302.0,1029.0,351.0,82
car,0.7519369,614.0,307.0,752.0,418.0,83
bus,0.7518847,826.0,424.0,998.0,576.0,83
car,0.7461047,1039.0,390.0,1163.0,467.0,83
car,0.68844724,1409.0,293.0,1486.0,358.0,83
car,0.66477823,1498.0,372.0,1601.0,445.0,83
car,0.73721695,1410.0,291.0,1491.0,354.0,84
car,0.71068907,1499.0,370.0,1600.0,441.0,84
car,0.68440676,1048.0,384.0,1169.0,462.0,84
car,0.5977273,936.0,306.0,1019.0,352.0,84
truck,0.54986906,605.0,305.0,742.0,423.0,84
car,0.44891453,832.0,418.0,1004.0,567.0,84
car,0.40125847,606.0,307.0,745.0,419.0,84
car,0.7909312,1055.0,381.0,1172.0,460.0,85
car,0.76791763,1414.0,289.0,1492.0,353.0,85
car,0.7488899,1500.0,366.0,1602.0,438.0,85
car,0.61476874,929.0,311.0,1013.0,357.0,85
car,0.5541265,594.0,305.0,738.0,425.0,85
car,0.5137689,846.0,412.0,1011.0,560.0,85
bus,0.42766285,846.0,417.0,1011.0,560.0,85
car,0.77137613,1417.0,288.0,1495.0,351.0,86
car,0.7269287,1503.0,363.0,1605.0,437.0,86
bus,0.7101517,856.0,402.0,1025.0,559.0,86
car,0.6931901,1061.0,376.0,1180.0,455.0,86
bus,0.53597593,587.0,308.0,719.0,426.0,86
car,0.53589344,928.0,311.0,1004.0,355.0,86
truck,0.530946,585.0,310.0,719.0,426.0,86
bus,0.8305507,864.0,403.0,1031.0,552.0,87
car,0.80093765,1414.0,287.0,1494.0,349.0,87
car,0.7859945,1065.0,371.0,1183.0,452.0,87
car,0.6910229,1504.0,359.0,1604.0,435.0,87
car,0.4954319,916.0,310.0,1001.0,358.0,87
truck,0.44789696,573.0,314.0,713.0,430.0,87
bus,0.40777326,303.0,680.0,799.0,1061.0,87
car,0.83416104,1075.0,371.0,1190.0,450.0,88
bus,0.82610655,872.0,401.0,1033.0,550.0,88
car,0.7911396,1417.0,286.0,1495.0,348.0,88
car,0.64795303,1508.0,357.0,1606.0,433.0,88
car,0.61361504,912.0,311.0,999.0,357.0,88
bus,0.5855713,323.0,664.0,824.0,1058.0,88
car,0.41219234,1065.0,245.0,1131.0,284.0,88
car,0.8348322,1081.0,370.0,1197.0,447.0,89
bus,0.8075285,879.0,397.0,1041.0,546.0,89
car,0.7292204,1421.0,283.0,1495.0,345.0,89
car,0.68860245,1511.0,357.0,1606.0,429.0,89
bus,0.650475,358.0,657.0,851.0,1067.0,89
truck,0.4882872,548.0,317.0,694.0,434.0,89
car,0.48611927,905.0,312.0,995.0,361.0,89
bus,0.4306841,549.0,318.0,693.0,435.0,89
car,0.8247042,1087.0,364.0,1201.0,442.0,90
bus,0.74995875,888.0,395.0,1050.0,538.0,90
car,0.70777273,1425.0,281.0,1500.0,342.0,90
car,0.69346905,1511.0,352.0,1606.0,426.0,90
car,0.6245899,901.0,315.0,983.0,363.0,90
bus,0.49040794,535.0,320.0,680.0,434.0,90
car,0.45835733,1053.0,249.0,1122.0,285.0,90
car,0.8075874,1094.0,364.0,1206.0,440.0,91
bus,0.70183754,901.0,392.0,1056.0,534.0,91
car,0.7017174,1512.0,352.0,1608.0,423.0,91
bus,0.6059809,416.0,637.0,879.0,1028.0,91
car,0.6044831,893.0,316.0,973.0,369.0,91
car,0.59354067,1428.0,278.0,1501.0,341.0,91
truck,0.54553294,526.0,324.0,672.0,439.0,91
car,0.43177605,1052.0,245.0,1119.0,285.0,91
car,0.7834625,1102.0,360.0,1209.0,435.0,92
car,0.674366,1513.0,352.0,1610.0,420.0,92
bus,0.6653595,906.0,390.0,1064.0,529.0,92
car,0.65463614,1432.0,277.0,1503.0,339.0,92
bus,0.65131164,434.0,625.0,886.0,1022.0,92
truck,0.55503154,512.0,327.0,661.0,444.0,92
car,0.4831233,1045.0,248.0,1115.0,290.0,92
car,0.46349478,882.0,322.0,970.0,373.0,92
car,0.8110764,1110.0,359.0,1215.0,431.0,93
bus,0.79223824,915.0,387.0,1071.0,524.0,93
bus,0.7340529,459.0,615.0,916.0,1047.0,93
car,0.6545019,1433.0,275.0,1506.0,337.0,93
car,0.63816833,500.0,326.0,655.0,445.0,93
car,0.62342453,880.0,322.0,966.0,374.0,93
car,0.6162865,1515.0,349.0,1611.0,417.0,93
car,0.5683541,1042.0,248.0,1112.0,291.0,93
